flight_iata,dep_scheduled_utc,dep_iata,arr_iata,airline_iata,airline_icao,status,dep_terminal,flight_number,dep_delay_min,is_delayed,hour_of_day,day_of_week,month,season,is_weekend,dep_airport_type,dep_latitude,dep_longitude,dep_elevation_ft,dep_iso_country,dep_iso_region,dep_municipality,dep_scheduled_service,arr_airport_type,arr_latitude,arr_longitude,arr_elevation_ft,arr_iso_country,arr_iso_region,arr_municipality,arr_scheduled_service,route_distance_km,is_domestic,is_international,notam_count_dep,notam_count_arr,notam_count_route,notam_active_dep,notam_active_arr,has_restriction_dep,has_restriction_arr,has_parachute_activity_dep,has_military_exercise_dep,has_runway_closure_dep,has_runway_closure_arr,has_airspace_restriction,notam_max_hours_dep,notam_max_hours_arr,dep_notams_available,arr_notams_available,flights_dep_same_hour,flights_arr_same_hour,updated_at
SU1942,2026-04-10 00:05:00+00,SVO,ALA,SU,AFL,landed,c,1942,36,t,0,4,4,spring,f,large_airport,55.976858,37.41121,622,RU,RU-MOS,Moscow,t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,3121.94,f,t,0,0,0,0,0,f,f,f,f,f,f,f,,,f,t,1,0,2026-05-12 11:28:13.274059+00
TK352,2026-04-10 00:40:00+00,IST,ALA,TK,THY,landed,,352,19,t,0,4,4,spring,f,large_airport,41.274874,28.732136,325,TR,TR-34,Istanbul,t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,3923.13,f,t,0,0,0,0,0,f,f,f,f,f,f,f,,,f,t,3,0,2026-05-12 11:28:13.274059+00
MS9300,2026-04-10 00:40:00+00,IST,ALA,MS,MSR,landed,,9300,19,t,0,4,4,spring,f,large_airport,41.274874,28.732136,325,TR,TR-34,Istanbul,t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,3923.13,f,t,0,0,0,0,0,f,f,f,f,f,f,f,,,f,t,3,0,2026-05-12 11:28:13.274059+00
KC1352,2026-04-10 00:40:00+00,IST,ALA,KC,KZR,landed,,1352,19,t,0,4,4,spring,f,large_airport,41.274874,28.732136,325,TR,TR-34,Istanbul,t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,3923.13,f,t,0,0,0,0,0,f,f,f,f,f,f,f,,,f,t,3,0,2026-05-12 11:28:13.274059+00
FV6531,2026-04-10 00:50:00+00,LED,ALA,FV,SDM,landed,1,6531,16,t,0,4,4,spring,f,large_airport,59.800301,30.262501,78,RU,RU-SPE,St. Petersburg,t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,3608.99,f,t,0,0,0,0,0,f,f,f,f,f,f,f,,,f,t,1,0,2026-05-12 11:28:13.274059+00
YG9023,2026-04-10 02:20:00+00,HGH,NQZ,YG,HYT,unknown,,9023,,,2,4,4,spring,f,large_airport,30.23609,120.428865,23,CN,CN-33,Hangzhou,t,large_airport,51.027035,71.467094,1165,KZ,KZ-AST,Astana,t,4621.26,f,t,0,0,0,0,0,f,f,f,f,f,f,f,,,f,t,1,0,2026-05-12 11:28:13.274059+00
5C652,2026-04-10 03:00:00+00,HKG,ALA,5C,ICL,unknown,,652,,,3,4,4,spring,f,large_airport,22.31184,113.914862,28,HK,HK-NT,Hong Kong,t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,4112.86,f,t,0,0,0,0,0,f,f,f,f,f,f,f,,,f,t,1,0,2026-05-12 11:28:13.274059+00
TK6481,2026-04-10 03:10:00+00,PVG,ALA,TK,THY,unknown,,6481,,,3,4,4,spring,f,large_airport,31.1434,121.805,13,CN,CN-31,Shanghai (Pudong),t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,4132.3,f,t,0,0,0,0,0,f,f,f,f,f,f,f,,,f,t,1,0,2026-05-12 11:28:13.274059+00
C6207,2026-04-10 03:20:00+00,TAS,NQZ,C6,MFX,unknown,,207,10,f,3,4,4,spring,f,large_airport,41.2579,69.281197,1417,UZ,UZ-TO,Tashkent,t,large_airport,51.027035,71.467094,1165,KZ,KZ-AST,Astana,t,1099.12,f,t,0,0,0,0,0,f,f,f,f,f,f,f,,,f,t,1,0,2026-05-12 11:28:13.274059+00
3V812,2026-04-10 04:40:00+00,TNA,ALA,3V,TAY,unknown,,812,,,4,4,4,spring,f,large_airport,36.857201,117.216003,76,CN,CN-37,Jinan (Licheng),t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,3457.37,f,t,0,0,0,0,0,f,f,f,f,f,f,f,,,f,t,1,0,2026-05-12 11:28:13.274059+00
3V816,2026-04-10 04:50:00+00,HGH,ALA,3V,TAY,unknown,,816,,,4,4,4,spring,f,large_airport,30.23609,120.428865,23,CN,CN-33,Hangzhou,t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,4075.87,f,t,0,0,0,0,0,f,f,f,f,f,f,f,,,f,t,1,0,2026-05-12 11:28:13.274059+00
C67672,2026-04-10 05:00:00+00,OSR,ALA,C6,MFX,landed,,7672,30,t,5,4,4,spring,f,large_airport,49.696301,18.111099,844,CZ,CZ-MO,Mošnov,t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,4445.59,f,t,0,0,0,0,0,f,f,f,f,f,f,f,,,f,t,1,0,2026-05-12 11:28:13.274059+00
C6205,2026-04-10 05:05:00+00,TAS,ALA,C6,MFX,unknown,,205,28,t,5,4,4,spring,f,large_airport,41.2579,69.281197,1417,UZ,UZ-TO,Tashkent,t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,679.19,f,t,0,0,0,0,0,f,f,f,f,f,f,f,,,f,t,1,0,2026-05-12 11:28:13.274059+00
TK6529,2026-04-10 05:05:00+00,CAN,ALA,TK,THY,unknown,,6529,,,5,4,4,spring,f,large_airport,23.392401,113.299004,50,CN,CN-44,Guangzhou (Huadu),t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,3984.67,f,t,0,0,0,0,0,f,f,f,f,f,f,f,,,f,t,1,0,2026-05-12 11:28:13.274059+00
DV732,2026-04-10 05:05:00+00,SCO,ALA,DV,VSV,active,,732,15,f,5,4,4,spring,f,large_airport,43.860093,51.09086,73,KZ,KZ-MAN,Aktau,t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,2081.67,t,f,0,0,0,0,0,f,f,f,f,f,f,f,,,t,t,2,0,2026-05-12 11:28:13.274059+00
DV742,2026-04-10 05:30:00+00,SCO,NQZ,DV,VSV,active,,742,,,5,4,4,spring,f,large_airport,43.860093,51.09086,73,KZ,KZ-MAN,Aktau,t,large_airport,51.027035,71.467094,1165,KZ,KZ-AST,Astana,t,1719.24,t,f,0,0,0,0,0,f,f,f,f,f,f,f,,,t,t,2,0,2026-05-12 11:28:13.274059+00
DV470,2026-04-10 05:30:00+00,BKK,CIT,DV,VSV,landed,,470,15,f,5,4,4,spring,f,large_airport,13.6811,100.747002,5,TH,TH-10,Bangkok,t,large_airport,42.365021,69.47564,1385,KZ,KZ-YUZ,Shymkent,t,4378.58,f,t,0,2,2,0,2,f,t,f,f,f,f,t,,12,f,t,1,0,2026-05-12 11:28:13.274059+00
DV828,2026-04-10 05:30:00+00,KJA,CIT,DV,VSV,landed,,828,5,f,5,4,4,spring,f,large_airport,56.175743,92.485788,942,RU,RU-KYA,Krasnoyarsk,t,large_airport,42.365021,69.47564,1385,KZ,KZ-YUZ,Shymkent,t,2248.48,f,t,0,2,2,0,2,f,t,f,f,f,f,t,,12,f,t,1,0,2026-05-12 11:28:13.274059+00
KC282,2026-04-10 05:40:00+00,PVG,ALA,KC,KZR,landed,2,282,18,t,5,4,4,spring,f,large_airport,31.1434,121.805,13,CN,CN-31,Shanghai (Pudong),t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,4132.3,f,t,0,1,1,0,1,f,t,f,f,f,f,t,,14.5,f,t,2,0,2026-05-12 11:28:13.274059+00
FS7307,2026-04-10 05:45:00+00,NQZ,CIT,FS,AYN,landed,,7307,14,f,5,4,4,spring,f,large_airport,51.027035,71.467094,1165,KZ,KZ-AST,Astana,t,large_airport,42.365021,69.47564,1385,KZ,KZ-YUZ,Shymkent,t,974.97,t,f,0,2,2,0,2,f,t,f,f,f,f,t,,12,t,t,1,0,2026-05-12 11:28:13.274059+00
DV462,2026-04-10 05:55:00+00,PVG,CIT,DV,VSV,landed,2,462,31,t,5,4,4,spring,f,large_airport,31.1434,121.805,13,CN,CN-31,Shanghai (Pudong),t,large_airport,42.365021,69.47564,1385,KZ,KZ-YUZ,Shymkent,t,4747.56,f,t,0,2,2,0,2,f,t,f,f,f,f,t,,12,f,t,2,0,2026-05-12 11:28:13.274059+00
F57791,2026-04-10 06:00:00+00,PRG,CIT,F5,ATG,landed,,7791,34,t,6,4,4,spring,f,large_airport,50.100874,14.259911,1247,CZ,CZ-PR,Prague,t,large_airport,42.365021,69.47564,1385,KZ,KZ-YUZ,Shymkent,t,4232.37,f,t,0,11,11,0,11,f,t,f,f,f,f,t,,14.833333333333334,f,t,1,0,2026-05-12 11:28:13.274059+00
KC268,2026-04-10 06:05:00+00,PEK,ALA,KC,KZR,landed,2,268,40,t,6,4,4,spring,f,large_airport,40.077349,116.596702,116,CN,CN-11,Beijing,t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,3272.3,f,t,0,16,16,0,16,f,t,f,f,f,f,t,,15,f,t,1,0,2026-05-12 11:28:13.274059+00
PC117,2026-04-10 06:05:00+00,CIT,AYT,PC,PGT,active,a,117,13,f,6,4,4,spring,f,large_airport,42.365021,69.47564,1385,KZ,KZ-YUZ,Shymkent,t,large_airport,36.898701,30.800501,177,TR,TR-07,Antalya,t,3337.76,f,t,11,,11,11,,t,,f,f,f,,t,14.833333333333334,,t,f,2,0,2026-05-12 11:28:13.274059+00
RH9493,2026-04-10 06:20:00+00,HKG,ALA,RH,HKC,unknown,,9493,,,6,4,4,spring,f,large_airport,22.31184,113.914862,28,HK,HK-NT,Hong Kong,t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,4112.86,f,t,0,16,16,0,16,f,t,f,f,f,f,t,,15,f,t,2,0,2026-05-12 11:28:13.274059+00
DV703,2026-04-10 06:20:00+00,ALA,NQZ,DV,VSV,landed,1,703,18,t,6,4,4,spring,f,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,large_airport,51.027035,71.467094,1165,KZ,KZ-AST,Astana,t,950.87,t,f,16,0,16,16,0,t,f,f,f,f,f,t,15,,t,t,9,0,2026-05-12 11:28:13.274059+00
TK6789,2026-04-10 06:20:00+00,HKG,ALA,TK,THY,unknown,,6789,,,6,4,4,spring,f,large_airport,22.31184,113.914862,28,HK,HK-NT,Hong Kong,t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,4112.86,f,t,0,16,16,0,16,f,t,f,f,f,f,t,,15,f,t,2,0,2026-05-12 11:28:13.274059+00
PC101,2026-04-10 06:25:00+00,ALA,SAW,PC,PGT,active,2,101,16,t,6,4,4,spring,f,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,large_airport,40.898602,29.3092,312,TR,TR-34,"Pendik, Istanbul",t,3892.1,f,t,16,,16,16,,t,,f,f,f,,t,15,,t,f,9,0,2026-05-12 11:28:13.274059+00
TK351,2026-04-10 06:30:00+00,ALA,IST,TK,THY,active,,351,15,f,6,4,4,spring,f,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,large_airport,41.274874,28.732136,325,TR,TR-34,Istanbul,t,3923.13,f,t,16,,16,16,,t,,f,f,f,,t,15,,t,f,9,0,2026-05-12 11:28:13.274059+00
MS9299,2026-04-10 06:30:00+00,ALA,IST,MS,MSR,active,,9299,15,f,6,4,4,spring,f,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,large_airport,41.274874,28.732136,325,TR,TR-34,Istanbul,t,3923.13,f,t,16,,16,16,,t,,f,f,f,,t,15,,t,f,9,0,2026-05-12 11:28:13.274059+00
DV701,2026-04-10 06:30:00+00,CIT,NQZ,DV,VSV,active,a,701,,,6,4,4,spring,f,large_airport,42.365021,69.47564,1385,KZ,KZ-YUZ,Shymkent,t,large_airport,51.027035,71.467094,1165,KZ,KZ-AST,Astana,t,974.97,t,f,11,0,11,11,0,t,f,f,f,f,f,t,14.833333333333334,,t,t,2,0,2026-05-12 11:28:13.274059+00
KC1351,2026-04-10 06:30:00+00,ALA,IST,KC,KZR,active,,1351,15,f,6,4,4,spring,f,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,large_airport,41.274874,28.732136,325,TR,TR-34,Istanbul,t,3923.13,f,t,16,,16,16,,t,,f,f,f,,t,15,,t,f,9,0,2026-05-12 11:28:13.274059+00
TK6780,2026-04-10 06:40:00+00,IST,ALA,TK,THY,unknown,,6780,,,6,4,4,spring,f,large_airport,41.274874,28.732136,325,TR,TR-34,Istanbul,t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,3923.13,f,t,0,16,16,0,16,f,t,f,f,f,f,t,,15,f,t,1,0,2026-05-12 11:28:13.274059+00
DV791,2026-04-10 06:45:00+00,SCO,KGF,DV,VSV,active,,791,,,6,4,4,spring,f,large_airport,43.860093,51.09086,73,KZ,KZ-MAN,Aktau,t,large_airport,49.670799,73.334396,1765,KZ,KZ-KAR,Karaganda,t,1804.95,t,f,0,,0,0,,f,,f,f,f,,f,,,t,f,1,0,2026-05-12 11:28:13.274059+00
DV719,2026-04-10 06:50:00+00,ALA,AKX,DV,VSV,active,1,719,14,f,6,4,4,spring,f,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,large_airport,50.248116,57.204144,738,KZ,KZ-AKT,Aktobe,t,1686.3,t,f,16,,16,16,,t,,f,f,f,,t,15,,t,f,9,0,2026-05-12 11:28:13.274059+00
5C6512,2026-04-10 06:51:00+00,ALA,TLV,5C,ICL,unknown,,6512,,,6,4,4,spring,f,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,large_airport,32.011398,34.8867,135,IL,IL-M,Tel Aviv,t,3871.52,f,t,16,,16,16,,t,,f,f,f,,t,15,,t,f,9,0,2026-05-12 11:28:13.274059+00
EY5273,2026-04-10 06:55:00+00,ALA,NQZ,EY,ETD,landed,1,5273,12,f,6,4,4,spring,f,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,large_airport,51.027035,71.467094,1165,KZ,KZ-AST,Astana,t,950.87,t,f,16,0,16,16,0,t,f,f,f,f,f,t,15,,t,t,9,0,2026-05-12 11:28:13.274059+00
KC651,2026-04-10 06:55:00+00,ALA,NQZ,KC,KZR,landed,1,651,12,f,6,4,4,spring,f,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,large_airport,51.027035,71.467094,1165,KZ,KZ-AST,Astana,t,950.87,t,f,16,0,16,16,0,t,f,f,f,f,f,t,15,,t,t,9,0,2026-05-12 11:28:13.274059+00
PC229,2026-04-10 06:55:00+00,NQZ,SAW,PC,PGT,active,1,229,42,t,6,4,4,spring,f,large_airport,51.027035,71.467094,1165,KZ,KZ-AST,Astana,t,large_airport,40.898602,29.3092,312,TR,TR-34,"Pendik, Istanbul",t,3393.98,f,t,0,,0,0,,f,,f,f,f,,f,,,t,f,1,4,2026-05-12 11:28:13.274059+00
DV468,2026-04-10 06:55:00+00,ICN,CIT,DV,VSV,landed,1,468,33,t,6,4,4,spring,f,large_airport,37.469101,126.450996,23,KR,KR-28,Seoul,t,large_airport,42.365021,69.47564,1385,KZ,KZ-YUZ,Shymkent,t,4798.41,f,t,0,11,11,0,11,f,t,f,f,f,f,t,,14.833333333333334,f,t,1,0,2026-05-12 11:28:13.274059+00
FS7791,2026-04-10 07:00:00+00,SCO,GUW,FS,AYN,landed,,7791,6,f,7,4,4,spring,f,large_airport,43.860093,51.09086,73,KZ,KZ-MAN,Aktau,t,large_airport,47.121318,51.820343,-72,KZ,KZ-ATY,Atyrau,t,367.06,t,f,0,0,0,0,0,f,f,f,f,f,f,f,,,t,t,1,0,2026-05-12 11:28:13.274059+00
DV809,2026-04-10 07:00:00+00,ALA,VKO,DV,VSV,active,2,809,10,f,7,4,4,spring,f,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,large_airport,55.591499,37.261501,685,RU,RU-MOW,Moscow,t,3124.21,f,t,16,,16,16,,t,,f,f,f,,t,15,,t,f,11,2,2026-05-12 11:28:13.274059+00
DV705,2026-04-10 07:00:00+00,CIT,ALA,DV,VSV,active,a,705,,,7,4,4,spring,f,large_airport,42.365021,69.47564,1385,KZ,KZ-YUZ,Shymkent,t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,626.29,t,f,12,16,28,12,16,t,t,f,f,f,f,t,14.833333333333334,15,t,t,1,2,2026-05-12 11:28:13.274059+00
SU1957,2026-04-10 07:10:00+00,NQZ,SVO,SU,AFL,active,1,1957,23,t,7,4,4,spring,f,large_airport,51.027035,71.467094,1165,KZ,KZ-AST,Astana,t,large_airport,55.976858,37.41121,622,RU,RU-MOS,Moscow,t,2293.25,f,t,0,,0,0,,f,,f,f,f,,f,,,t,f,9,1,2026-05-12 11:28:13.274059+00
FS7054,2026-04-10 07:15:00+00,NQZ,ALA,FS,AYN,active,,7054,,,7,4,4,spring,f,large_airport,51.027035,71.467094,1165,KZ,KZ-AST,Astana,t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,950.87,t,f,0,16,16,0,16,f,t,f,f,f,f,t,,15,t,t,9,1,2026-05-12 11:28:13.274059+00
KC981,2026-04-10 07:20:00+00,NQZ,GUW,KC,KZR,landed,2,981,3,f,7,4,4,spring,f,large_airport,51.027035,71.467094,1165,KZ,KZ-AST,Astana,t,large_airport,47.121318,51.820343,-72,KZ,KZ-ATY,Atyrau,t,1490.38,t,f,0,0,0,0,0,f,f,f,f,f,f,f,,,t,t,9,1,2026-05-12 11:28:13.274059+00
FS7208,2026-04-10 07:25:00+00,NQZ,GUW,FS,AYN,landed,,7208,10,f,7,4,4,spring,f,large_airport,51.027035,71.467094,1165,KZ,KZ-AST,Astana,t,large_airport,47.121318,51.820343,-72,KZ,KZ-ATY,Atyrau,t,1490.38,t,f,0,0,0,0,0,f,f,f,f,f,f,f,,,t,t,9,1,2026-05-12 11:28:13.274059+00
DV757,2026-04-10 07:30:00+00,ALA,DMB,DV,VSV,active,1,757,11,f,7,4,4,spring,f,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,large_airport,42.8536,71.303596,2184,KZ,KZ-ZHA,Taraz,t,469.16,t,f,16,,16,16,,t,,f,f,f,,t,15,,t,f,11,2,2026-05-12 11:28:13.274059+00
KC971,2026-04-10 07:35:00+00,ALA,CIT,KC,KZR,unknown,1,971,26,t,7,4,4,spring,f,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,large_airport,42.365021,69.47564,1385,KZ,KZ-YUZ,Shymkent,t,626.29,t,f,16,12,28,16,12,t,t,f,f,f,f,t,15,14.833333333333334,t,t,11,2,2026-05-12 11:28:13.274059+00
EY5261,2026-04-10 07:35:00+00,ALA,CIT,EY,ETD,unknown,1,5261,26,t,7,4,4,spring,f,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,large_airport,42.365021,69.47564,1385,KZ,KZ-YUZ,Shymkent,t,626.29,t,f,16,12,28,16,12,t,t,f,f,f,f,t,15,14.833333333333334,t,t,11,2,2026-05-12 11:28:13.274059+00
KC687,2026-04-10 07:40:00+00,ALA,URC,KC,KZR,active,2,687,15,f,7,4,4,spring,f,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,large_airport,43.913584,87.479372,2125,CN,CN-65,Ürümqi,t,841.66,f,t,16,,16,16,,t,,f,f,f,,t,15,,t,f,11,2,2026-05-12 11:28:13.274059+00
VJ353,2026-04-10 07:40:00+00,NQZ,ALA,VJ,VJC,active,2,353,8,f,7,4,4,spring,f,large_airport,51.027035,71.467094,1165,KZ,KZ-AST,Astana,t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,950.87,t,f,0,16,16,0,16,f,t,f,f,f,f,t,,15,t,t,9,1,2026-05-12 11:28:13.274059+00
H19552,2026-04-10 07:40:00+00,NQZ,ALA,H1,H1,active,2,9552,8,f,7,4,4,spring,f,large_airport,51.027035,71.467094,1165,KZ,KZ-AST,Astana,t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,950.87,t,f,0,16,16,0,16,f,t,f,f,f,f,t,,15,t,t,9,1,2026-05-12 11:28:13.274059+00
C6208,2026-04-10 07:45:00+00,NQZ,TAS,C6,MFX,active,1,208,,,7,4,4,spring,f,large_airport,51.027035,71.467094,1165,KZ,KZ-AST,Astana,t,large_airport,41.2579,69.281197,1417,UZ,UZ-TO,Tashkent,t,1099.12,f,t,0,,0,0,,f,,f,f,f,,f,,,t,f,9,1,2026-05-12 11:28:13.274059+00
KC933,2026-04-10 07:45:00+00,ALA,BKK,KC,KZR,unknown,2,933,,,7,4,4,spring,f,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,large_airport,13.6811,100.747002,5,TH,TH-10,Bangkok,t,4000.39,f,t,16,,16,16,,t,,f,f,f,,t,15,,t,f,11,2,2026-05-12 11:28:13.274059+00
FS7051,2026-04-10 07:45:00+00,ALA,NQZ,FS,AYN,landed,,7051,21,t,7,4,4,spring,f,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,large_airport,51.027035,71.467094,1165,KZ,KZ-AST,Astana,t,950.87,t,f,16,0,16,16,0,t,f,f,f,f,f,t,15,,t,t,11,2,2026-05-12 11:28:13.274059+00
IQ365,2026-04-10 07:45:00+00,NQZ,KSN,IQ,QAZ,unknown,2,365,,,7,4,4,spring,f,large_airport,51.027035,71.467094,1165,KZ,KZ-AST,Astana,t,large_airport,53.206902,63.550301,595,KZ,KZ-KUS,Kostanay,t,591.99,t,f,0,,0,0,,f,,f,f,f,,f,,,t,f,9,1,2026-05-12 11:28:13.274059+00
H19603,2026-04-10 07:45:00+00,NQZ,KSN,H1,H1,unknown,2,9603,,,7,4,4,spring,f,large_airport,51.027035,71.467094,1165,KZ,KZ-AST,Astana,t,large_airport,53.206902,63.550301,595,KZ,KZ-KUS,Kostanay,t,591.99,t,f,0,,0,0,,f,,f,f,f,,f,,,t,f,9,1,2026-05-12 11:28:13.274059+00
CX6221,2026-04-10 07:50:00+00,ALA,DEL,CX,CPA,active,2,6221,1,f,7,4,4,spring,f,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,large_airport,28.55563,77.09519,777,IN,IN-DL,New Delhi,t,1645.54,f,t,16,,16,16,,t,,f,f,f,,t,15,,t,f,11,2,2026-05-12 11:28:13.274059+00
KC877,2026-04-10 07:50:00+00,ALA,GUW,KC,KZR,landed,1,877,19,t,7,4,4,spring,f,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,large_airport,47.121318,51.820343,-72,KZ,KZ-ATY,Atyrau,t,2009.5,t,f,16,0,16,16,0,t,f,f,f,f,f,t,15,,t,t,11,2,2026-05-12 11:28:13.274059+00
AI6802,2026-04-10 07:50:00+00,ALA,DEL,AI,AIC,active,2,6802,1,f,7,4,4,spring,f,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,large_airport,28.55563,77.09519,777,IN,IN-DL,New Delhi,t,1645.54,f,t,16,,16,16,,t,,f,f,f,,t,15,,t,f,11,2,2026-05-12 11:28:13.274059+00
KC907,2026-04-10 07:50:00+00,ALA,DEL,KC,KZR,active,2,907,1,f,7,4,4,spring,f,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,large_airport,28.55563,77.09519,777,IN,IN-DL,New Delhi,t,1645.54,f,t,16,,16,16,,t,,f,f,f,,t,15,,t,f,11,2,2026-05-12 11:28:13.274059+00
DV752,2026-04-10 08:00:00+00,CIT,AKX,DV,VSV,active,a,752,2,f,8,4,4,spring,f,large_airport,42.365021,69.47564,1385,KZ,KZ-YUZ,Shymkent,t,large_airport,50.248116,57.204144,738,KZ,KZ-AKT,Aktobe,t,1284.17,t,f,12,,12,12,,t,,f,f,f,,t,14.833333333333334,,t,f,3,0,2026-05-12 11:28:13.274059+00
FS7165,2026-04-10 08:10:00+00,ALA,URA,FS,AYN,active,,7165,12,f,8,4,4,spring,f,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,large_airport,51.151976,51.543652,125,KZ,KZ-ZAP,Uralsk,t,2096.85,t,f,18,,18,18,,t,,t,f,f,,t,15,,t,f,7,7,2026-05-12 11:28:13.274059+00
HY761,2026-04-10 08:15:00+00,TAS,ALA,HY,UZB,unknown,,761,7,f,8,4,4,spring,f,large_airport,41.2579,69.281197,1417,UZ,UZ-TO,Tashkent,t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,679.19,f,t,0,18,18,0,18,f,t,f,f,f,f,t,,15,f,t,1,0,2026-05-12 11:28:13.274059+00
KC622,2026-04-10 08:15:00+00,NQZ,ALA,KC,KZR,active,2,622,12,f,8,4,4,spring,f,large_airport,51.027035,71.467094,1165,KZ,KZ-AST,Astana,t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,950.87,t,f,0,18,18,0,18,f,t,f,f,f,f,t,,15,t,t,3,5,2026-05-12 11:28:13.274059+00
FS7308,2026-04-10 08:20:00+00,CIT,NQZ,FS,AYN,active,,7308,2,f,8,4,4,spring,f,large_airport,42.365021,69.47564,1385,KZ,KZ-YUZ,Shymkent,t,large_airport,51.027035,71.467094,1165,KZ,KZ-AST,Astana,t,974.97,t,f,12,0,12,12,0,t,f,f,f,f,f,t,14.833333333333334,,t,t,3,0,2026-05-12 11:28:13.274059+00
TK6592,2026-04-10 08:25:00+00,IST,ALA,TK,THY,landed,,6592,89,t,8,4,4,spring,f,large_airport,41.274874,28.732136,325,TR,TR-34,Istanbul,t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,3923.13,f,t,0,18,18,0,18,f,t,f,f,f,f,t,,15,f,t,2,0,2026-05-12 11:28:13.274059+00
TK6578,2026-04-10 08:30:00+00,IST,ALA,TK,THY,landed,,6578,13,f,8,4,4,spring,f,large_airport,41.274874,28.732136,325,TR,TR-34,Istanbul,t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,3923.13,f,t,0,18,18,0,18,f,t,f,f,f,f,t,,15,f,t,2,0,2026-05-12 11:28:13.274059+00
5C852,2026-04-10 08:30:00+00,HKG,ALA,5C,ICL,unknown,,852,,,8,4,4,spring,f,large_airport,22.31184,113.914862,28,HK,HK-NT,Hong Kong,t,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,4112.86,f,t,0,18,18,0,18,f,t,f,f,f,f,t,,15,f,t,1,0,2026-05-12 11:28:13.274059+00
FS7143,2026-04-10 08:30:00+00,ALA,KSN,FS,AYN,active,,7143,23,t,8,4,4,spring,f,large_airport,43.354267,77.042828,2234,KZ,KZ-ALA,Almaty,t,large_airport,53.206902,63.550301,595,KZ,KZ-KUS,Kostanay,t,1477.43,t,f,18,,18,18,,t,,t,f,f,,t,15,,t,f,7,7,2026-05-12 11:28:13.274059+00
